Key,File,Type,schinese
TestCubeA,blocks,Block,Test Cube A (Block Faces)
TestCubeC,blocks,Block,Test Cube C (Block Faces)
TestCubeO,blocks,Block,Test Cube O (Block Faces)
TestCubeP,blocks,Block,Test Cube P (Block Faces)
TestCubeY,blocks,Block,Test Cube Y (Block Faces)
buffStatusWoundedName,buffs,Buff,低生命值
buffStatusWoundedTooltip,buffs,Buff,你的最大生命值较低。使用急救措施恢复生命值。
modVehicleMegaDesc,item_modifiers,Mod,疯狂添加超级物品。
resourceSteelPolish,items,Item,增强钢制品升级道具 (deprecated)
sunblocker,items,Medical,防晒霜
sunblockerDesc,items,Medical,把护肤霜擦在身上。让你做，你就照做。
meleeWpnBatonT3PlasmaBaton,items,Melee,Plasma Baton
meleeWpnBatonT3PlasmaBatonDesc,items,Melee,这个由垃圾制成的高科技小装置可以将金属击成碎片，而且电击时有几率肢解对手。
meleeWpnBatonT3PlasmaBatonSchematic,items,Melee,Plasma Baton 设计图
gunAssemblyTip,Journal Tip,,要组装一把枪或是电动工具，抑或用更好的部件升级你的武器或工具，你必须首先在物品栏中拥有所有必备材料，然后已经阅读过相关设计图。在物品栏中选择组件并点击“组装”动作来组装它。这类配方不会出现在制作菜单中。
gunAssemblyTip_title,Journal Tip,,物品组装
tableSawTip,Journal Tip,,使用锯床来解锁并制作大量装饰配方，自定义并装饰基地。
tableSawTip_title,Journal Tip,,锯床
perkFlameThrowerDesc,progression,perk,使用喷火器和燃烧瓶的大师。
perkFlameThrowerName,progression,perk,燥起来！
perkFlameThrowerRank1Desc,progression,perk,火焰伤害武器造成的伤害增加10%，伤害半径增大20%。
perkFlameThrowerRank2Desc,progression,perk,火焰伤害武器造成的伤害增加20%，伤害半径增大40%。
perkFlameThrowerRank3Desc,progression,perk,火焰伤害武器造成的伤害增加30%，伤害半径增大60%。
perkFlameThrowerRank4Desc,progression,perk,火焰伤害武器造成的伤害增加40%，伤害半径增大80%。
perkFlameThrowerRank5Desc,progression,perk,火焰伤害武器造成的伤害增加50%，伤害半径增大100%。
skillAgilityAthleticsDesc,progression,Skill,提升你冲刺、跳跃和游泳的能力。
skillAgilityStealthDesc,progression,Skill,提升你保持安静的能力，也能让敌人的尸体更加安静。
skillCombatPerksDesc,progression,Skill,提升你在战斗中的效率。
skillFortitudeRecoveryDesc,progression,Skill,提升你生命值和体力的恢复速度，包括自然恢复和通过食物、治疗品恢复。
skillFortitudeSurvivalDesc,progression,Skill,提升你忍受伤害、抵抗伤痛和疾病的能力。
skillIntellectCraftsmanshipDesc,progression,Skill,制作武器、护甲、工具、载具、化学品以及急救包！
skillIntellectInfluenceDesc,progression,Skill,提升你与纳维戈恩各个派系建立关系的能力。
skillPerceptionScavengingDesc,progression,Skill,提升你讨价还价的能力，以及翻找搜刮实用物品的能力。
skillStrengthConstructionDesc,progression,Skill,提升你开采建造坚固堡垒所需材料的能力。
skillStrengthGeneralDesc,progression,Skill,.....
cultureInfoName,UI,Font,zh-CN
gmDeathmatchDesc,UI,Menu,巴拉巴拉巴拉
lblMold,UI,Menu,模型
xuiBuffStatHealth,UI,XUI,生命值
xuiBuffStatModifierMax,UI,XUI,[DECEA3]{1} 最大{0}。[-]
xuiBuffStatModifierMaxForSeconds,UI,XUI,[DECEA3]{1} 最大{0}之于{2}。[-]
xuiBuffStatModifierSetValueDec,UI,XUI,{0}：[DECEA3]下降了{1}%。[-]
xuiBuffStatModifierSetValueForSecondsDec,UI,XUI,{0}：[DECEA3]下降了{1}% 之于{2}。[-]
xuiBuffStatModifierSetValueForSecondsInc,UI,XUI,{0}：[DECEA3]上升了{1}% 之于{2}。[-]
xuiBuffStatModifierSetValueInc,UI,XUI,{0}：[DECEA3]上升了{1}%。[-]
xuiBuffStatModifierValueOT,UI,XUI,{0}：[DECEA3]{1}每{2}秒。[-]
xuiBuffStatModifierValueOTForSeconds,UI,XUI,{0}：[DECEA3]{1}每{2}秒之于{3}。[-]
xuiBuffStatMovementSpeed,UI,XUI,移动速度
xuiBuffStatSickness,UI,XUI,生病
xuiBuffStatStamina,UI,XUI,体力值
xuiBuffStatWellness,UI,XUI,健康程度
biome_burnt_forest,biomes,biome,焚毁的森林
biome_desert,biomes,biome,沙漠
biome_pine_forest,biomes,biome,松树林
biome_pineforest,biomes,biome,松树林
biome_snow,biomes,biome,雪
biome_wasteland,biomes,biome,荒野
xuiBlockTextureOperationsBox,Block Tools,XUI,物块纹理操作
xuiBlockTools,Block Tools,XUI,物块工具
xuiBlueBrushOperationsBox,Block Tools,XUI,蓝色画笔操作
xuiReplaceShapeMaterialsButton,Block Tools,XUI,更换材料
xuiReplaceShapeMaterialsSwitchInOut,Block Tools,XUI,交换
xuiSearchAndReplaceBox,Block Tools,XUI,搜索与替换
xuiShowPaintTextures,Block Tools,XUI,显示喷漆纹理
xuiTerrainDensitiesBox,Block Tools,XUI,地形物块操作
4x4Static,blocks,Block,4x4 静态
abandonedPickupTruck01Blue,blocks,Block,蓝色废弃皮卡车
abandonedPickupTruck01Brown,blocks,Block,棕色废弃皮卡车
abandonedPickupTruck01DoorBlue,blocks,Block,蓝色废弃皮卡车门
abandonedPickupTruck01DoorBrown,blocks,Block,棕色废弃皮卡车门
abandonedPickupTruck01DoorGreen,blocks,Block,绿色废弃皮卡车门
abandonedPickupTruck01DoorGrey,blocks,Block,灰色废弃皮卡车门
abandonedPickupTruck01DoorOrange,blocks,Block,橙色废弃皮卡车门
abandonedPickupTruck01DoorPink,blocks,Block,粉色废弃皮卡车门
abandonedPickupTruck01DoorPurple,blocks,Block,紫色废弃皮卡车门
abandonedPickupTruck01DoorRandomHelper,blocks,Block,= 废弃皮卡车门 = 随机助手
abandonedPickupTruck01DoorRed,blocks,Block,红色废弃皮卡车门
abandonedPickupTruck01DoorWhite,blocks,Block,白色废弃皮卡车门
abandonedPickupTruck01DoorYellow,blocks,Block,黄色废弃皮卡车门
abandonedPickupTruck01Green,blocks,Block,绿色废弃皮卡车
abandonedPickupTruck01Grey,blocks,Block,灰色废弃皮卡车
abandonedPickupTruck01Orange,blocks,Block,橙色废弃皮卡车
abandonedPickupTruck01Pink,blocks,Block,粉色废弃皮卡车
abandonedPickupTruck01Purple,blocks,Block,紫色废弃皮卡车
abandonedPickupTruck01RandomHelper,blocks,Block,= 废弃皮卡车 = 随机助手
abandonedPickupTruck01Red,blocks,Block,红色废弃皮卡车
abandonedPickupTruck01White,blocks,Block,白色废弃皮卡车
abandonedPickupTruck01Yellow,blocks,Block,黄色废弃皮卡车
abandonedPickupTruck3Wide01Blue,blocks,Block,蓝色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01Brown,blocks,Block,棕色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01DoorBlue,blocks,Block,蓝色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorBrown,blocks,Block,棕色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorGreen,blocks,Block,绿色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorGrey,blocks,Block,灰色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorOrange,blocks,Block,橙色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorPink,blocks,Block,粉色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorPurple,blocks,Block,紫色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorRandomHelper,blocks,Block,=废弃皮卡车 3 宽度 门 = 随机助手
abandonedPickupTruck3Wide01DoorRed,blocks,Block,红色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorWhite,blocks,Block,白色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01DoorYellow,blocks,Block,黄色废弃皮卡车 3 宽度 门
abandonedPickupTruck3Wide01Green,blocks,Block,绿色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01Grey,blocks,Block,灰色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01Orange,blocks,Block,橙色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01Pink,blocks,Block,粉色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01Purple,blocks,Block,紫色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01RandomHelper,blocks,Block,= 废弃皮卡车 3 宽度 = 随机助手
abandonedPickupTruck3Wide01Red,blocks,Block,红色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01White,blocks,Block,白色废弃皮卡车 3 宽度
abandonedPickupTruck3Wide01Yellow,blocks,Block,黄色废弃皮卡车 3 宽度
abandonedSUV01Blue,blocks,Block,蓝色废弃休旅车
abandonedSUV01Brown,blocks,Block,棕色废弃休旅车
abandonedSUV01DoorsBlue,blocks,Block,蓝色废弃休旅车门
abandonedSUV01DoorsBrown,blocks,Block,棕色废弃休旅车门
abandonedSUV01DoorsGreen,blocks,Block,绿色废弃休旅车门
abandonedSUV01DoorsGrey,blocks,Block,灰色废弃休旅车门
abandonedSUV01DoorsOrange,blocks,Block,橙色废弃休旅车门
abandonedSUV01DoorsPink,blocks,Block,粉色废弃休旅车门
abandonedSUV01DoorsPurple,blocks,Block,紫色废弃休旅车门
abandonedSUV01DoorsRandomHelper,blocks,Block,= 废弃休旅车门 = 随机助手
abandonedSUV01DoorsRed,blocks,Block,红色废弃休旅车门
abandonedSUV01DoorsWhite,blocks,Block,白色废弃休旅车门
abandonedSUV01DoorsYellow,blocks,Block,黄色废弃休旅车门
abandonedSUV01Green,blocks,Block,绿色废弃休旅车
abandonedSUV01Grey,blocks,Block,灰色废弃休旅车
abandonedSUV01Orange,blocks,Block,橙色废弃休旅车
abandonedSUV01Pink,blocks,Block,粉色废弃休旅车
abandonedSUV01Purple,blocks,Block,紫色废弃休旅车
abandonedSUV01RandomHelper,blocks,Block,= 废弃休旅车 = 随机助手
abandonedSUV01Red,blocks,Block,红色废弃休旅车
abandonedSUV01White,blocks,Block,白色废弃休旅车
abandonedSUV01Yellow,blocks,Block,黄色废弃休旅车
abandonedSUV3Wide01Blue,blocks,Block,蓝色废弃休旅车 3 宽度
abandonedSUV3Wide01Brown,blocks,Block,棕色废弃休旅车 3 宽度
abandonedSUV3Wide01DoorsBlue,blocks,Block,蓝色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsBrown,blocks,Block,棕色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsGreen,blocks,Block,绿色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsGrey,blocks,Block,灰色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsOrange,blocks,Block,橙色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsPink,blocks,Block,粉色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsPurple,blocks,Block,紫色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsRandomHelper,blocks,Block,= 废弃休旅车 3 宽度 门 = 随机助手
abandonedSUV3Wide01DoorsRed,blocks,Block,红色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsWhite,blocks,Block,白色废弃休旅车 3 宽度 门
abandonedSUV3Wide01DoorsYellow,blocks,Block,黄色废弃休旅车 3 宽度 门
abandonedSUV3Wide01Green,blocks,Block,绿色废弃休旅车 3 宽度
abandonedSUV3Wide01Grey,blocks,Block,灰色废弃休旅车 3 宽度
abandonedSUV3Wide01Orange,blocks,Block,橙色废弃休旅车 3 宽度
abandonedSUV3Wide01Pink,blocks,Block,粉色废弃休旅车 3 宽度
abandonedSUV3Wide01Purple,blocks,Block,紫色废弃休旅车 3 宽度
abandonedSUV3Wide01RandomHelper,blocks,Block,=废弃休旅车 3 宽度 = 随机助手
abandonedSUV3Wide01Red,blocks,Block,红色废弃休旅车 3 宽度
abandonedSUV3Wide01White,blocks,Block,白色废弃休旅车 3 宽度
abandonedSUV3Wide01Yellow,blocks,Block,黄色废弃休旅车 3 宽度
airConditioner,blocks,Block,空调
airConditionVentFan,blocks,Block,排风扇
airConditionVentFanDouble,blocks,Block,排风扇-双
alphabetLetterSignGroupDesc,blocks,Block,使用这些字母符号和数字创建自己的告示牌。
apartmentMailboxClosed,blocks,Block,邮箱
apartmentMailboxClosedBlue,blocks,Block,邮箱
apartmentMailboxClosedGreen,blocks,Block,邮箱
apartmentMailboxClosedGrey,blocks,Block,邮箱
apartmentMailboxClosedRed,blocks,Block,邮箱
apartmentMailboxClosedWhite,blocks,Block,邮箱
apartmentMailboxClosedYellow,blocks,Block,邮箱
apartmentMailboxOpen,blocks,Block,邮箱-打开
